                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.1459,                 2.6949,                 1.1781,                0.56129,                0.75779,                0.78633,                0.57663,                 1.1468,                 1.8378,                 1.2334,              0.0099899,              0.0099899,              0.0099899
                    104,                 1.1849,                 2.7355,                 1.2324,                0.63356,                0.70781,                0.88983,                0.72308,                0.82512,                 1.4631,                 1.0658,              0.0099898,              0.0099898,              0.0099898
                    105,                 1.2754,                 2.9275,                 1.2951,                0.58215,                0.79841,                 0.8629,                 0.6874,                0.92579,                  1.499,                 1.1038,              0.0099897,              0.0099897,              0.0099897
                    106,                 1.1344,                 2.7226,                 1.2018,                0.55441,                0.77047,                0.85426,                0.67076,                0.96998,                 1.5791,                 1.1449,              0.0099896,              0.0099896,              0.0099896
                    107,                 1.0845,                 2.7202,                 1.1855,                 0.5872,                0.76271,                0.87723,                0.70285,                0.90318,                 1.4877,                 1.1007,              0.0099895,              0.0099895,              0.0099895
                    108,                 1.1453,                 2.6808,                 1.1875,                0.51185,                0.83779,                0.87758,                0.64283,                  1.114,                 1.7726,                 1.2299,              0.0099894,              0.0099894,              0.0099894
                    109,                 1.1584,                 2.7381,                 1.2102,                0.61964,                0.68788,                0.81841,                0.66604,                0.86807,                 1.6717,                 1.0932,              0.0099893,              0.0099893,              0.0099893
                    110,                 1.1213,                 2.5488,                 1.1818,                0.56074,                0.76686,                0.85826,                 0.6491,                 1.0482,                 1.6029,                 1.1999,              0.0099892,              0.0099892,              0.0099892
                    111,                  1.098,                 2.5424,                 1.1914,                 0.5221,                0.79688,                  0.865,                0.68912,                0.91735,                 1.6492,                 1.1021,              0.0099891,              0.0099891,              0.0099891
                    112,                  1.136,                  2.505,                  1.198,                0.57972,                0.82285,                0.90506,                0.73821,                0.84198,                 1.5392,                 1.0648,               0.009989,               0.009989,               0.009989
                    113,                 1.1513,                 2.6929,                 1.1849,                0.55883,                0.76397,                0.87625,                0.69265,                0.92638,                  1.539,                  1.111,              0.0099889,              0.0099889,              0.0099889
                    114,                   1.07,                 2.4661,                 1.1414,                0.62466,                0.77119,                0.89873,                0.72869,                0.85686,                 1.4139,                 1.0815,              0.0099888,              0.0099888,              0.0099888
                    115,                 1.1586,                 2.5846,                 1.2572,                0.63068,                0.77338,                0.91518,                0.74921,                0.84387,                 1.3537,                 1.0772,              0.0099887,              0.0099887,              0.0099887
                    116,                 1.2288,                 2.6479,                 1.2099,                0.55758,                0.84758,                0.91208,                0.76221,                0.81708,                 1.3356,                 1.0571,              0.0099886,              0.0099886,              0.0099886
                    117,                 1.1078,                 2.5862,                 1.2032,                0.54124,                0.79108,                0.88875,                0.67538,                 1.0266,                 1.4725,                 1.1877,              0.0099885,              0.0099885,              0.0099885
                    118,                 1.1522,                 2.5517,                 1.1891,                0.65135,                0.79494,                0.93035,                0.76789,                0.81591,                 1.2986,                 1.0618,              0.0099884,              0.0099884,              0.0099884
                    119,                 1.0803,                 2.4485,                 1.1292,                0.63744,                0.79865,                0.94441,                0.76138,                0.84688,                  1.295,                 1.0797,              0.0099883,              0.0099883,              0.0099883
                    120,                 1.0862,                 2.4802,                 1.1978,                0.51353,                0.89591,                0.91981,                0.75482,                0.80764,                 1.2092,                 1.0639,              0.0099882,              0.0099882,              0.0099882
                    121,                 1.1607,                 2.4797,                 1.2228,                0.56459,                0.79135,                0.88398,                0.66082,                 1.1029,                 1.5241,                 1.2372,              0.0099881,              0.0099881,              0.0099881
                    122,                 1.2309,                 2.6915,                 1.2554,                0.65416,                0.78684,                0.92895,                0.76444,                0.82935,                 1.2905,                 1.0643,               0.009988,               0.009988,               0.009988
                    123,                 1.1314,                 2.6044,                  1.195,                0.54534,                0.86871,                0.91279,                0.73868,                 0.8951,                 1.3436,                 1.0886,              0.0099879,              0.0099879,              0.0099879
                    124,                 1.1144,                 2.4487,                 1.1776,                 0.5999,                0.80508,                0.95031,                0.77204,                0.86028,                 1.2649,                 1.0741,              0.0099878,              0.0099878,              0.0099878
                    125,                 1.0902,                 2.3695,                 1.1903,                0.68105,                0.68945,                 0.8896,                 0.7319,                0.82935,                 1.4751,                 1.0657,              0.0099877,              0.0099877,              0.0099877
                    126,                 1.2103,                 2.5678,                 1.2574,                0.61775,                0.78475,                0.92543,                0.67895,                 1.1349,                 1.4505,                 1.2347,              0.0099876,              0.0099876,              0.0099876
                    127,                 1.1042,                 2.4994,                  1.211,                0.63074,                0.82652,                0.93457,                0.77003,                0.83144,                 1.3548,                 1.0746,              0.0099875,              0.0099875,              0.0099875
                    128,                 1.1481,                 2.5558,                 1.2288,                0.57105,                0.87305,                0.93738,                0.78636,                0.81236,                 1.1873,                  1.058,              0.0099874,              0.0099874,              0.0099874
                    129,                   1.14,                 2.5646,                 1.2227,                0.72752,                0.72881,                0.94384,                0.73356,                 1.0311,                 1.3422,                 1.1729,              0.0099873,              0.0099873,              0.0099873
                    130,                 1.1887,                 2.4596,                 1.2033,                0.63886,                0.86056,                0.95846,                0.77484,                0.87257,                 1.2922,                 1.0832,              0.0099872,              0.0099872,              0.0099872
                    131,                 1.1179,                 2.3384,                  1.192,                0.72668,                0.76503,                  0.943,                0.81273,                0.72651,                 1.1257,                 1.0198,              0.0099871,              0.0099871,              0.0099871
                    132,                 1.1402,                  2.556,                  1.193,                0.57973,                0.81564,                0.92734,                0.66864,                  1.185,                 1.4397,                 1.2707,               0.009987,               0.009987,               0.009987
                    133,                 1.0878,                 2.4545,                 1.2152,                0.69528,                0.79308,                0.94441,                0.78962,                0.77337,                 1.1954,                 1.0619,              0.0099869,              0.0099869,              0.0099869
